Subject,Start Date,End Date,Start Time,End Time,All Day Event
Block 1 Part 1 Living in a digital world,04/06/2019,04/12/2019,12:00 AM,11:59 PM,0
Part 2 The evolving computer,04/13/2019,04/19/2019,12:00 AM,11:59 PM,0
Part 3 Digital media,04/20/2019,04/26/2019,12:00 AM,11:59 PM,0
Part 4 A world built of data,04/27/2019,05/03/2019,12:00 AM,11:59 PM,0
Part 5 Weaving the web,05/04/2019,05/10/2019,12:00 AM,11:59 PM,0
Part 6 Crossing boundaries,05/11/2019,05/17/2019,12:00 AM,11:59 PM,0
TMA 01 submission,05/18/2019,05/24/2019,12:00 AM,11:59 PM,0
Block 2 Part 1 Programming with OUBuild,05/25/2019,05/31/2019,12:00 AM,11:59 PM,0
"Part 2 Numbers, strings and lists",06/01/2019,06/07/2019,12:00 AM,11:59 PM,0
Break week,06/08/2019,06/14/2019,12:00 AM,11:59 PM,0
Part 3 Selection,06/15/2019,06/21/2019,12:00 AM,11:59 PM,0
Part 4 Loops,06/22/2019,06/28/2019,12:00 AM,11:59 PM,0
Part 5 Modular programming,06/29/2019,07/05/2019,12:00 AM,11:59 PM,0
Part 6 Algorithms,07/06/2019,07/12/2019,12:00 AM,11:59 PM,0
 TMA 02 submission,07/13/2019,07/19/2019,12:00 AM,11:59 PM,0
Block 3 Part 1 Network technologies,07/20/2019,07/26/2019,12:00 AM,11:59 PM,0
Part 2 The internet,07/27/2019,08/02/2019,12:00 AM,11:59 PM,0
Break week,08/03/2019,08/09/2019,12:00 AM,11:59 PM,0
Part 3 Wireless communications,08/10/2019,08/16/2019,12:00 AM,11:59 PM,0
Part 4 The Internet of Things (IoT),08/17/2019,08/23/2019,12:00 AM,11:59 PM,0
Part 5 Online communication,08/24/2019,08/30/2019,12:00 AM,11:59 PM,0
Part 6 The networked society,08/31/2019,09/06/2019,12:00 AM,11:59 PM,0
TMA 03 submission,09/07/2019,09/13/2019,12:00 AM,11:59 PM,0
